Lineups,Seconds Played,Games Played,plus_minus,PUR PTS,PUR POSS,OPP POSS,OPP PTS,PUR FG,PUR FGA,PUR 3P,PUR 3PA,PUR FT,PUR FTA,PUR OREB,PUR DREB,PUR REB,PUR AST,PUR STL,PUR BLK,PUR TO,OPP FGA,OPP OREB,OPP DREB,OPP REB,OPP TO,OPP FTA
"Smith, Loyer, Morton, Furst, Edey",789,1,15,22,19,24,7,9,21,2,5,2,2,4,11,15,6,3,2,1,19,1,8,9,5,1
"Smith, Loyer, Morton, Gillis, Edey",337,1,12,15,10,10,3,7,8,1,1,0,1,1,6,7,5,1,1,2,8,0,0,0,2,0
"Smith, Loyer, Newman, Gillis, Edey",241,1,3,5,7,6,2,2,5,1,2,0,0,0,4,4,1,0,1,2,6,1,3,4,1,0
"Jenkins, Loyer, Newman, Furst, Kaufman-Renn",188,1,2,4,5,6,2,2,4,0,1,0,0,0,2,2,1,1,0,1,3,0,2,2,3,0
"Smith, Jenkins, Newman, Furst, Edey",18,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Smith, Jenkins, Newman, Gillis, Edey",80,1,-2,0,2,2,2,0,2,0,1,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0
"Jenkins, Loyer, Morton, Furst, Edey",113,1,2,4,3,3,2,2,3,0,0,0,0,0,2,2,2,0,0,0,3,0,1,1,0,0
"Jenkins, Loyer, Newman, Furst, Edey",45,1,-1,0,2,2,1,0,3,0,2,0,0,1,1,2,0,0,1,0,1,0,1,1,0,1
"Smith, Jenkins, Newman, Gillis, Kaufman-Renn",171,1,-3,5,4,4,8,2,3,1,1,0,0,0,1,1,1,0,0,1,5,2,0,2,0,1
"Jenkins, Newman, Morton, Gillis, Kaufman-Renn",163,1,-1,3,4,4,4,1,3,1,2,0,0,0,2,2,1,0,0,1,4,0,2,2,0,0
"Jenkins, Newman, Waddell, Gillis, Kaufman-Renn",172,1,-1,3,4,3,4,1,3,1,1,0,0,1,1,2,1,0,0,2,2,0,1,1,0,2
"Jenkins, Newman, Barrett, Waddell, Kaufman-Renn",83,1,-4,0,3,3,4,0,3,0,0,0,0,0,0,0,0,1,0,0,2,0,3,3,1,0
