Lineups,Seconds Played,Games Played,plus_minus,PUR PTS,PUR POSS,OPP POSS,OPP PTS,PUR FG,PUR FGA,PUR 3P,PUR 3PA,PUR FT,PUR FTA,PUR OREB,PUR DREB,PUR REB,PUR AST,PUR STL,PUR BLK,PUR TO,OPP FGA,OPP OREB,OPP DREB,OPP REB,OPP TO,OPP FTA
"Smith, Loyer, Morton, Furst, Edey",706,1,5,26,23,20,21,11,22,1,5,3,4,4,10,14,6,0,0,3,21,2,4,6,0,2
"Smith, Loyer, Newman, Furst, Edey",73,1,-2,2,1,2,4,1,3,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,2
"Jenkins, Loyer, Newman, Gillis, Edey",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Jenkins, Loyer, Newman, Gillis, Kaufman-Renn",114,1,-4,0,3,3,4,0,1,0,0,0,0,0,1,1,0,0,0,2,3,0,1,1,0,0
"Smith, Jenkins, Newman, Gillis, Kaufman-Renn",18,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"Smith, Jenkins, Newman, Gillis, Edey",123,1,-2,3,2,3,5,1,3,1,3,0,0,2,0,2,1,0,0,1,2,0,0,0,0,1
"Smith, Loyer, Morton, Gillis, Edey",329,1,-1,9,10,11,10,4,8,1,4,0,1,3,4,7,1,1,3,4,8,2,2,4,2,5
"Smith, Jenkins, Loyer, Furst, Edey",154,1,0,2,3,3,2,1,1,0,0,0,2,0,1,1,0,1,0,1,3,1,0,1,1,0
"Smith, Jenkins, Loyer, Furst, Kaufman-Renn",119,1,-4,3,4,5,7,1,2,1,1,0,1,0,2,2,1,0,0,1,3,0,2,2,0,3
"Jenkins, Loyer, Morton, Furst, Kaufman-Renn",45,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0
"Smith, Jenkins, Morton, Kaufman-Renn, Edey",77,1,-1,4,3,2,5,1,1,0,0,2,3,0,0,0,1,0,0,0,2,0,0,0,0,0
"Smith, Loyer, Newman, Gillis, Edey",61,1,-1,4,3,3,5,2,2,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,1
"Smith, Loyer, Newman, Gillis, Kaufman-Renn",131,1,-1,2,4,3,3,0,2,0,2,2,2,0,1,1,0,0,0,1,2,0,2,2,1,0
"Smith, Loyer, Newman, Kaufman-Renn, Edey",2,1,1,2,1,1,1,0,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,2
"Smith, Loyer, Newman, Furst, Kaufman-Renn",73,1,0,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0
"Smith, Jenkins, Morton, Gillis, Edey",78,1,-4,0,2,2,4,0,1,0,0,0,0,0,0,0,0,0,0,1,3,1,1,2,0,0
"Smith, Jenkins, Newman, Furst, Edey",275,1,6,10,5,5,4,4,8,2,3,0,0,4,1,5,3,0,0,1,5,1,0,1,1,0
"Smith, Jenkins, Loyer, Gillis, Edey",21,1,2,4,2,1,2,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
