Lineups,Seconds Played,Games Played,plus_minus,PUR PTS,PUR POSS,OPP POSS,OPP PTS,PUR FG,PUR FGA,PUR 3P,PUR 3PA,PUR FT,PUR FTA,PUR OREB,PUR DREB,PUR REB,PUR AST,PUR STL,PUR BLK,PUR TO,OPP FGA,OPP OREB,OPP DREB,OPP REB,OPP TO,OPP FTA
"Smith, Loyer, Morton, Furst, Edey",477,1,-6,8,13,14,14,4,11,0,1,0,0,2,4,6,1,2,1,4,14,3,5,8,2,2
"Smith, Jenkins, Newman, Gillis, Kaufman-Renn",100,1,-3,1,2,4,4,0,0,0,0,1,2,0,1,1,0,0,1,1,4,0,0,0,0,0
"Smith, Loyer, Newman, Gillis, Kaufman-Renn",169,1,2,6,4,4,4,3,4,0,0,0,0,0,1,1,2,0,0,0,2,0,1,1,1,2
"Jenkins, Loyer, Newman, Gillis, Edey",26,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Jenkins, Loyer, Morton, Furst, Edey",231,1,-3,2,5,5,5,1,6,0,3,0,0,1,3,4,1,0,0,0,7,2,3,5,0,0
"Smith, Loyer, Morton, Gillis, Edey",426,1,2,15,11,13,13,7,11,1,3,0,0,0,4,4,2,1,3,0,9,0,3,3,1,6
"Smith, Newman, Morton, Gillis, Edey",117,1,4,4,3,3,0,1,2,0,0,2,2,0,2,2,1,0,0,0,2,1,1,2,1,1
"Smith, Loyer, Newman, Gillis, Edey",34,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"Smith, Loyer, Morton, Gillis, Kaufman-Renn",27,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"Smith, Loyer, Newman, Furst, Edey",89,1,1,3,2,2,2,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0
"Jenkins, Loyer, Newman, Furst, Kaufman-Renn",52,1,-2,0,2,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0
"Jenkins, Loyer, Newman, Gillis, Kaufman-Renn",35,1,-2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Smith, Jenkins, Newman, Gillis, Edey",108,1,-5,0,3,3,5,0,3,0,2,0,0,0,1,1,0,0,0,0,3,0,3,3,0,0
"Smith, Loyer, Morton, Kaufman-Renn, Edey",188,1,-5,4,4,5,9,0,1,0,1,4,4,0,0,0,0,0,0,1,4,1,1,2,1,1
"Smith, Loyer, Newman, Kaufman-Renn, Edey",209,1,5,7,5,4,2,3,4,0,0,1,2,0,2,2,2,0,0,0,4,1,2,3,1,0
"Smith, Loyer, Newman, Morton, Edey",112,1,-3,2,2,2,5,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,2
