Lineups,Seconds Played,Games Played,plus_minus,PUR PTS,PUR POSS,OPP POSS,OPP PTS,PUR FG,PUR FGA,PUR 3P,PUR 3PA,PUR FT,PUR FTA,PUR OREB,PUR DREB,PUR REB,PUR AST,PUR STL,PUR BLK,PUR TO,OPP FGA,OPP OREB,OPP DREB,OPP REB,OPP TO,OPP FTA
"Smith, Loyer, Morton, Furst, Edey",481,1,1,15,12,12,14,6,14,2,3,1,2,5,5,10,3,1,2,2,11,0,3,3,1,0
"Smith, Loyer, Morton, Kaufman-Renn, Edey",575,1,10,26,20,17,16,9,14,1,2,7,7,0,7,7,7,2,0,2,15,1,3,4,2,1
"Jenkins, Loyer, Newman, Kaufman-Renn, Edey",264,1,9,11,8,7,2,4,11,2,4,1,1,4,5,9,4,0,0,0,7,0,1,1,0,0
"Jenkins, Newman, Waddell, Furst, Kaufman-Renn",230,1,7,11,8,8,4,5,7,1,1,0,0,0,4,4,3,0,0,1,5,0,2,2,2,1
"Smith, Newman, Waddell, Furst, Kaufman-Renn",136,1,0,5,5,3,5,2,4,0,1,1,2,0,0,0,1,1,0,0,2,0,2,2,1,0
"Smith, Morton, Waddell, Furst, Edey",19,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
"Smith, Loyer, Morton, Waddell, Edey",38,1,-2,0,0,1,2,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"Smith, Loyer, Newman, Kaufman-Renn, Edey",172,1,3,8,5,5,5,3,4,0,1,2,2,0,2,2,3,0,0,0,4,0,0,0,0,2
"Jenkins, Loyer, Newman, Waddell, Edey",10,1,-2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
"Jenkins, Newman, Morton, Waddell, Edey",35,1,-3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Jenkins, Loyer, Newman, Furst, Edey",136,1,0,6,4,4,6,2,3,1,1,1,1,0,0,0,0,1,0,0,3,1,1,2,1,2
"Smith, Newman, Waddell, Kaufman-Renn, Edey",75,1,1,1,3,2,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,1,1,1,0
"Smith, Newman, Morton, Furst, Kaufman-Renn",126,1,-4,1,4,4,5,0,3,0,2,1,1,0,2,2,0,0,0,0,4,0,3,3,0,0
"Jenkins, Morton, Waddell, Kaufman-Renn, Edey",0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jenkins, Morton, Waddell, Furst, Kaufman-Renn",103,1,-2,4,2,3,6,2,2,0,0,0,0,0,1,1,1,0,0,0,4,1,0,1,0,0
