Lineups,Seconds Played,Games Played,plus_minus,PUR PTS,PUR POSS,OPP POSS,OPP PTS,PUR FG,PUR FGA,PUR 3P,PUR 3PA,PUR FT,PUR FTA,PUR OREB,PUR DREB,PUR REB,PUR AST,PUR STL,PUR BLK,PUR TO,OPP FGA,OPP OREB,OPP DREB,OPP REB,OPP TO,OPP FTA
"Smith, Loyer, Newman, Gillis, Edey",502,1,-1,6,11,11,7,3,10,0,5,0,4,3,6,9,0,0,1,2,11,2,4,6,2,0
"Smith, Loyer, Morton, Gillis, Edey",377,1,0,11,10,10,11,4,6,2,4,1,3,0,5,5,4,1,0,2,9,0,3,3,1,0
"Smith, Loyer, Newman, Furst, Kaufman-Renn",39,1,-3,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Jenkins, Loyer, Newman, Furst, Kaufman-Renn",170,1,2,4,3,4,2,2,2,0,0,0,0,0,2,2,0,0,0,1,3,0,0,0,1,0
"Jenkins, Loyer, Newman, Kaufman-Renn, Edey",388,1,0,12,10,9,12,6,11,0,4,0,0,3,3,6,2,1,0,2,8,0,2,2,1,0
"Smith, Newman, Morton, Gillis, Edey",93,1,0,2,3,3,2,1,3,0,1,0,0,0,1,1,0,1,0,0,2,0,2,2,1,0
"Smith, Loyer, Newman, Furst, Edey",0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Smith, Loyer, Morton, Furst, Edey",424,1,-8,9,8,10,17,3,9,1,3,2,2,3,3,6,1,0,0,1,10,1,3,4,0,2
"Jenkins, Loyer, Morton, Furst, Edey",68,1,2,2,2,1,0,1,2,0,1,0,0,1,1,2,1,0,0,1,1,0,0,0,0,0
"Jenkins, Loyer, Morton, Furst, Kaufman-Renn",117,1,0,2,2,4,2,1,2,0,0,0,0,0,2,2,1,0,0,0,6,2,1,3,0,0
"Jenkins, Loyer, Morton, Kaufman-Renn, Edey",72,1,4,5,2,3,1,2,2,1,1,0,0,0,1,1,1,0,0,0,3,1,0,1,0,1
"Smith, Jenkins, Newman, Gillis, Edey",76,1,0,2,1,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
"Smith, Newman, Morton, Furst, Edey",65,1,2,4,2,3,2,0,0,0,0,4,4,0,2,2,0,0,0,0,2,0,0,0,0,2
"Smith, Loyer, Newman, Morton, Gillis",7,1,2,2,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Smith, Loyer, Newman, Morton, Furst",2,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
