Lineups,Seconds Played,Games Played,plus_minus,PUR PTS,PUR POSS,OPP POSS,OPP PTS,PUR FG,PUR FGA,PUR 3P,PUR 3PA,PUR FT,PUR FTA,PUR OREB,PUR DREB,PUR REB,PUR AST,PUR STL,PUR BLK,PUR TO,OPP FGA,OPP OREB,OPP DREB,OPP REB,OPP TO,OPP FTA
"Smith, Loyer, Morton, Furst, Edey",477,1,-6,13,13,15,19,5,8,0,0,3,5,1,5,6,0,0,0,3,15,1,3,4,0,2
"Smith, Loyer, Morton, Gillis, Edey",559,1,5,16,16,15,11,7,15,2,5,0,0,2,5,7,2,2,1,3,10,0,5,5,3,3
"Smith, Loyer, Newman, Gillis, Kaufman-Renn",58,1,2,4,2,2,2,1,1,0,0,2,2,0,1,1,0,0,0,0,1,0,0,0,0,2
"Jenkins, Loyer, Newman, Gillis, Kaufman-Renn",164,1,1,8,4,4,7,3,3,0,0,2,2,0,1,1,1,0,0,0,5,1,0,1,0,0
"Smith, Jenkins, Newman, Gillis, Edey",163,1,2,5,5,3,3,2,4,1,2,0,0,0,2,2,1,0,0,1,3,0,1,1,0,0
"Smith, Jenkins, Newman, Furst, Edey",25,1,-3,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Jenkins, Newman, Morton, Furst, Edey",111,1,0,2,2,3,2,1,3,0,1,0,0,1,1,2,0,0,0,0,4,2,1,3,0,1
"Jenkins, Loyer, Morton, Furst, Edey",302,1,3,9,7,8,6,4,8,1,1,0,0,1,3,4,1,0,0,0,7,2,3,5,1,3
"Jenkins, Loyer, Morton, Gillis, Kaufman-Renn",43,1,2,2,2,1,0,0,1,0,0,2,2,0,1,1,0,0,0,0,1,0,1,1,0,0
"Jenkins, Loyer, Newman, Gillis, Edey",137,1,2,4,5,5,2,1,3,0,1,2,2,0,3,3,0,1,1,1,3,0,2,2,1,1
"Jenkins, Loyer, Newman, Furst, Edey",63,1,-3,0,2,2,3,0,0,0,0,0,1,0,1,1,0,0,1,1,2,0,0,0,0,0
"Jenkins, Loyer, Newman, Furst, Kaufman-Renn",59,1,1,3,3,2,2,0,0,0,0,3,3,0,0,0,0,0,0,1,1,0,0,0,1,0
"Jenkins, Loyer, Newman, Kaufman-Renn, Edey",59,1,0,0,0,1,0,0,1,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,2
"Smith, Loyer, Morton, Gillis, Kaufman-Renn",171,1,0,7,5,4,7,3,3,1,1,0,1,0,1,1,2,0,0,1,4,0,1,1,0,0
"Smith, Loyer, Newman, Morton, Gillis",9,1,-1,2,1,2,3,0,0,0,0,2,2,0,1,1,0,0,0,0,2,0,0,0,0,0
