Lineups,Seconds Played,Games Played,plus_minus,PUR PTS,PUR POSS,OPP POSS,OPP PTS,PUR FG,PUR FGA,PUR 3P,PUR 3PA,PUR FT,PUR FTA,PUR OREB,PUR DREB,PUR REB,PUR AST,PUR STL,PUR BLK,PUR TO,OPP FGA,OPP OREB,OPP DREB,OPP REB,OPP TO,OPP FTA
"Smith, Loyer, Morton, Furst, Edey",840,1,-2,19,24,18,21,5,21,0,4,9,10,7,6,13,4,1,1,5,20,6,10,16,2,4
"Smith, Loyer, Morton, Furst, Kaufman-Renn",240,1,2,7,5,6,5,3,5,1,1,0,0,1,2,3,3,0,2,1,7,2,2,4,1,0
"Smith, Loyer, Morton, Gillis, Edey",332,1,-3,8,8,9,11,3,7,0,2,2,2,2,2,4,1,0,0,2,9,2,2,4,1,1
"Jenkins, Loyer, Newman, Gillis, Edey",172,1,9,11,6,4,2,5,6,1,2,0,1,1,3,4,3,1,0,0,4,2,0,2,1,1
"Jenkins, Loyer, Morton, Gillis, Edey",213,1,-3,2,6,6,5,1,3,0,1,0,0,1,2,3,1,1,2,4,5,1,1,2,1,1
"Jenkins, Loyer, Morton, Furst, Edey",174,1,-3,2,2,6,5,1,2,0,0,0,0,1,2,3,0,0,0,1,6,2,0,2,2,0
"Smith, Newman, Morton, Furst, Edey",80,1,2,2,3,2,0,0,2,0,1,2,2,0,1,1,0,0,0,0,1,0,2,2,1,0
"Smith, Newman, Morton, Furst, Kaufman-Renn",185,1,0,2,3,5,2,0,2,0,1,2,2,0,2,2,0,0,1,0,4,1,2,3,2,0
"Smith, Jenkins, Newman, Gillis, Edey",162,1,1,5,4,4,4,2,4,0,1,1,1,1,2,3,1,0,0,0,3,0,1,1,0,2
"Smith, Loyer, Newman, Morton, Furst",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
