Lineups,Seconds Played,Games Played,plus_minus,PUR PTS,PUR POSS,OPP POSS,OPP PTS,PUR FG,PUR FGA,PUR 3P,PUR 3PA,PUR FT,PUR FTA,PUR OREB,PUR DREB,PUR REB,PUR AST,PUR STL,PUR BLK,PUR TO,OPP FGA,OPP OREB,OPP DREB,OPP REB,OPP TO,OPP FTA
"Smith, Loyer, Morton, Furst, Edey",999,1,19,36,26,27,17,14,21,6,7,2,2,1,13,14,10,3,3,5,27,4,5,9,4,0
"Smith, Loyer, Morton, Gillis, Edey",444,1,-3,12,11,12,15,5,11,0,4,2,2,2,4,6,2,0,2,1,12,1,4,5,0,1
"Jenkins, Loyer, Newman, Gillis, Edey",284,1,8,12,9,7,4,5,7,1,1,1,2,1,2,3,1,2,0,2,6,1,1,2,2,0
"Jenkins, Loyer, Newman, Kaufman-Renn, Edey",160,1,-4,0,5,5,4,0,3,0,1,0,0,1,2,3,0,0,0,3,4,0,2,2,1,0
"Smith, Newman, Morton, Gillis, Edey",204,1,-4,7,4,5,11,3,7,1,3,0,0,3,0,3,2,0,0,0,4,0,1,1,1,0
"Jenkins, Loyer, Newman, Morton, Edey",19,1,-2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Smith, Loyer, Newman, Furst, Edey",149,1,2,4,3,4,2,2,3,0,1,0,0,0,3,3,2,0,0,0,5,1,1,2,0,0
"Smith, Newman, Morton, Gillis, Kaufman-Renn",141,1,-3,5,4,4,8,2,4,0,1,1,1,1,0,1,1,0,0,0,3,0,1,1,0,2
