Lineups,Seconds Played,Games Played,plus_minus,PUR PTS,PUR POSS,OPP POSS,OPP PTS,PUR FG,PUR FGA,PUR 3P,PUR 3PA,PUR FT,PUR FTA,PUR OREB,PUR DREB,PUR REB,PUR AST,PUR STL,PUR BLK,PUR TO,OPP FGA,OPP OREB,OPP DREB,OPP REB,OPP TO,OPP FTA
"Smith, Loyer, Morton, Gillis, Edey",601,1,6,20,18,19,14,8,18,2,4,2,2,5,7,12,3,3,1,4,13,1,3,4,5,3
"Smith, Loyer, Morton, Furst, Edey",287,1,4,10,7,6,6,4,7,1,1,1,1,1,3,4,4,0,1,0,6,0,2,2,0,0
"Smith, Jenkins, Newman, Furst, Edey",24,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0
"Jenkins, Loyer, Newman, Furst, Edey",224,1,0,7,5,6,7,2,2,0,0,3,3,0,3,3,2,0,1,1,6,0,0,0,0,0
"Jenkins, Loyer, Newman, Gillis, Kaufman-Renn",92,1,3,5,4,3,2,0,0,0,0,5,6,0,1,1,0,0,0,1,2,0,0,0,1,0
"Jenkins, Loyer, Newman, Furst, Kaufman-Renn",96,1,3,3,2,2,0,1,2,1,2,0,0,0,2,2,1,0,0,0,2,0,0,0,0,0
"Jenkins, Loyer, Morton, Furst, Edey",236,1,5,7,7,5,2,2,7,0,2,3,4,4,4,8,1,0,0,2,6,1,1,2,0,0
"Jenkins, Newman, Morton, Furst, Edey",158,1,-3,4,5,5,7,1,3,0,2,2,4,1,1,2,1,1,0,1,3,0,2,2,1,2
"Smith, Jenkins, Newman, Furst, Kaufman-Renn",170,1,2,5,4,5,3,2,4,1,2,0,0,0,2,2,2,1,0,0,3,0,2,2,1,2
"Smith, Jenkins, Newman, Gillis, Kaufman-Renn",376,1,8,14,9,10,6,4,7,2,3,4,6,1,4,5,1,2,0,0,8,1,2,3,2,1
"Martin, Barrett, Waddell, King, Kaufman-Renn",136,1,-2,6,6,6,8,3,4,0,0,0,0,0,2,2,1,0,0,2,5,1,0,1,0,3
