Lineups,Seconds Played,Games Played,plus_minus,PUR PTS,PUR POSS,OPP POSS,OPP PTS,PUR FG,PUR FGA,PUR 3P,PUR 3PA,PUR FT,PUR FTA,PUR OREB,PUR DREB,PUR REB,PUR AST,PUR STL,PUR BLK,PUR TO,OPP FGA,OPP OREB,OPP DREB,OPP REB,OPP TO,OPP FTA
"Smith, Loyer, Morton, Furst, Edey",1204,1,19,44,31,31,25,15,28,7,14,7,9,4,15,19,7,2,3,3,28,2,9,11,5,0
"Jenkins, Loyer, Newman, Furst, Edey",66,1,0,0,2,0,0,0,3,0,2,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0
"Jenkins, Loyer, Newman, Furst, Kaufman-Renn",58,1,3,3,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
"Jenkins, Loyer, Newman, Gillis, Kaufman-Renn",184,1,-4,2,5,5,6,1,6,0,3,0,0,3,1,4,0,1,0,2,4,0,1,1,1,0
"Jenkins, Loyer, Newman, Gillis, Edey",261,1,-3,7,7,8,10,1,4,1,3,4,5,3,2,5,1,0,1,3,8,1,0,1,0,2
"Jenkins, Newman, Morton, Gillis, Edey",64,1,-1,1,2,2,2,0,1,0,1,1,1,0,1,1,0,0,0,0,2,0,1,1,0,0
"Smith, Newman, Morton, Gillis, Edey",83,1,3,3,2,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"Smith, Jenkins, Morton, Gillis, Kaufman-Renn",173,1,0,4,5,6,4,1,3,0,2,2,2,0,3,3,0,1,0,1,4,0,1,1,1,1
"Smith, Loyer, Morton, Gillis, Edey",307,1,1,9,8,7,8,3,5,1,2,2,3,0,3,3,2,1,0,1,7,1,2,3,1,0
