Lineups,Seconds Played,Games Played,plus_minus,PUR PTS,PUR POSS,OPP POSS,OPP PTS,PUR FG,PUR FGA,PUR 3P,PUR 3PA,PUR FT,PUR FTA,PUR OREB,PUR DREB,PUR REB,PUR AST,PUR STL,PUR BLK,PUR TO,OPP FGA,OPP OREB,OPP DREB,OPP REB,OPP TO,OPP FTA
"Smith, Loyer, Morton, Furst, Edey",1352,1,22,53,35,40,31,21,34,7,14,4,5,9,16,25,14,2,4,7,35,2,5,7,5,4
"Smith, Loyer, Morton, Gillis, Edey",351,1,1,14,13,13,13,4,9,2,5,4,4,1,5,6,2,0,1,3,13,1,4,5,0,2
"Jenkins, Loyer, Newman, Gillis, Kaufman-Renn",177,1,-1,5,6,5,6,2,5,1,4,0,0,0,1,1,1,0,0,1,5,1,3,4,1,0
"Smith, Jenkins, Newman, Gillis, Edey",81,1,0,0,2,2,0,0,3,0,2,0,0,1,1,2,0,0,0,0,2,0,1,1,0,0
"Smith, Jenkins, Morton, Furst, Edey",83,1,2,2,3,2,0,1,1,0,0,0,0,0,2,2,1,0,0,2,3,1,0,1,0,0
"Jenkins, Loyer, Morton, Gillis, Kaufman-Renn",144,1,-2,7,5,4,9,3,3,0,0,1,1,0,0,0,2,0,0,1,4,0,0,0,0,0
"Smith, Jenkins, Morton, Gillis, Kaufman-Renn",121,1,-4,4,3,5,8,2,3,0,1,0,0,0,0,0,1,1,0,0,4,0,1,1,1,0
"Smith, Jenkins, Morton, Gillis, Edey",91,1,-4,2,3,4,6,0,2,0,1,2,2,1,1,2,0,0,0,1,3,0,1,1,0,1
