Lineups,Seconds Played,Games Played,plus_minus,PUR PTS,PUR POSS,OPP POSS,OPP PTS,PUR FG,PUR FGA,PUR 3P,PUR 3PA,PUR FT,PUR FTA,PUR OREB,PUR DREB,PUR REB,PUR AST,PUR STL,PUR BLK,PUR TO,OPP FGA,OPP OREB,OPP DREB,OPP REB,OPP TO,OPP FTA
"Smith, Loyer, Morton, Furst, Edey",681,1,3,19,17,18,16,7,16,4,7,1,2,3,8,11,5,1,1,3,16,3,6,9,3,4
"Smith, Loyer, Newman, Kaufman-Renn, Edey",96,1,1,1,3,3,0,0,2,0,2,1,1,0,1,1,0,0,1,0,2,0,2,2,1,0
"Smith, Jenkins, Newman, Kaufman-Renn, Edey",177,1,0,2,4,5,2,1,5,0,2,0,0,1,4,5,0,0,0,0,5,0,3,3,0,0
"Jenkins, Newman, Waddell, Furst, Kaufman-Renn",48,1,3,3,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"Jenkins, Morton, Waddell, Furst, Kaufman-Renn",97,1,-1,3,2,3,4,1,2,0,1,1,2,1,1,2,0,0,0,0,5,2,0,2,0,0
"Jenkins, Morton, Waddell, Furst, Edey",54,1,2,2,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
"Jenkins, Loyer, Morton, Furst, Edey",70,1,-1,2,2,1,3,1,3,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0
"Smith, Loyer, Morton, Kaufman-Renn, Edey",228,1,0,6,7,6,6,3,5,0,1,0,0,1,3,4,0,0,0,3,6,1,1,2,1,0
"Jenkins, Newman, Morton, Kaufman-Renn, Edey",358,1,-2,10,9,10,12,4,8,2,6,0,3,2,3,5,3,1,2,1,8,0,5,5,1,1
"Jenkins, Loyer, Newman, Morton, Edey",12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jenkins, Loyer, Waddell, Morton, Edey",5,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
"Jenkins, Loyer, Newman, Kaufman-Renn, Edey",69,1,2,2,2,1,0,1,2,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0
"Smith, Jenkins, Loyer, Furst, Edey",187,1,-3,2,4,4,5,1,4,0,3,0,0,1,2,3,1,0,0,1,4,0,1,1,0,0
"Smith, Loyer, Newman, Morton, Edey",604,1,-1,13,16,19,14,2,9,0,5,9,12,3,7,10,0,1,3,4,20,6,5,11,2,5
"Smith, Newman, Morton, Furst, Edey",14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
