Lineups,Seconds Played,Games Played,plus_minus,PUR PTS,PUR POSS,OPP POSS,OPP PTS,PUR FG,PUR FGA,PUR 3P,PUR 3PA,PUR FT,PUR FTA,PUR OREB,PUR DREB,PUR REB,PUR AST,PUR STL,PUR BLK,PUR TO,OPP FGA,OPP OREB,OPP DREB,OPP REB,OPP TO,OPP FTA
"Smith, Loyer, Morton, Furst, Edey",672,1,0,16,17,17,16,5,13,0,4,6,7,3,7,10,5,1,2,3,14,1,5,6,3,2
"Smith, Loyer, Morton, Gillis, Edey",92,1,5,7,3,3,2,2,2,2,2,1,2,0,2,2,2,0,0,0,4,1,0,1,0,0
"Smith, Jenkins, Newman, Gillis, Edey",107,1,2,6,4,2,4,1,2,1,2,3,3,0,0,0,1,0,0,0,2,0,1,1,0,0
"Smith, Jenkins, Newman, Gillis, Kaufman-Renn",0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jenkins, Loyer, Newman, Gillis, Kaufman-Renn",133,1,-2,2,3,3,4,1,3,0,1,0,0,0,0,0,0,0,0,0,3,1,1,2,1,0
"Smith, Loyer, Morton, Gillis, Kaufman-Renn",110,1,3,6,3,2,3,2,2,2,2,0,0,0,1,1,2,0,0,1,3,1,0,1,0,0
"Smith, Jenkins, Morton, Furst, Edey",155,1,-2,2,4,4,4,1,4,0,2,0,0,1,1,2,1,1,0,1,2,0,2,2,1,2
"Smith, Jenkins, Morton, Gillis, Edey",49,1,0,0,2,3,0,0,2,0,1,0,0,0,2,2,0,0,0,0,2,0,2,2,1,0
"Smith, Newman, Morton, Gillis, Edey",196,1,3,6,6,6,3,1,2,0,1,4,6,0,3,3,1,0,1,1,6,2,1,3,0,3
"Smith, Newman, Morton, Gillis, Kaufman-Renn",58,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
"Smith, Jenkins, Newman, Gillis, Furst",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Smith, Newman, Morton, Gillis, Furst",7,1,-2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Smith, Loyer, Newman, Gillis, Edey",298,1,-9,4,12,10,13,2,5,0,2,0,1,0,1,1,2,1,0,6,5,0,1,1,1,7
"Jenkins, Loyer, Newman, Gillis, Edey",27,1,-2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
"Jenkins, Newman, Morton, Gillis, Edey",130,1,2,2,2,3,0,1,2,0,1,0,0,0,3,3,0,0,0,0,3,0,1,1,0,0
"Smith, Newman, Morton, Furst, Edey",60,1,0,2,2,1,2,0,1,0,1,2,2,0,0,0,0,0,0,0,1,0,1,1,0,0
"Smith, Loyer, Newman, Furst, Edey",304,1,-5,4,8,10,9,1,8,0,2,2,2,2,5,7,1,1,1,1,10,3,4,7,1,3
