Lineups,Seconds Played,Games Played,plus_minus,PUR PTS,PUR POSS,OPP POSS,OPP PTS,PUR FG,PUR FGA,PUR 3P,PUR 3PA,PUR FT,PUR FTA,PUR OREB,PUR DREB,PUR REB,PUR AST,PUR STL,PUR BLK,PUR TO,OPP FGA,OPP OREB,OPP DREB,OPP REB,OPP TO,OPP FTA
"Smith, Loyer, Morton, Furst, Edey",743,1,-3,20,22,19,23,7,22,2,10,4,5,9,5,14,4,2,0,6,17,1,5,6,2,2
"Smith, Loyer, Morton, Gillis, Edey",544,1,2,16,16,13,14,5,12,3,8,3,3,1,5,6,3,1,0,3,13,4,5,9,2,3
"Jenkins, Loyer, Newman, Gillis, Edey",120,1,-4,0,4,5,4,0,3,0,0,0,0,0,3,3,0,0,0,1,5,0,3,3,0,0
"Smith, Jenkins, Newman, Gillis, Kaufman-Renn",136,1,2,5,4,3,3,2,5,1,2,0,0,1,1,2,0,0,0,0,2,0,1,1,0,1
"Smith, Jenkins, Morton, Furst, Kaufman-Renn",90,1,0,2,2,3,2,1,2,0,1,0,0,0,1,1,0,0,0,0,2,0,1,1,1,0
"Smith, Jenkins, Morton, Gillis, Edey",548,1,7,24,14,14,17,9,12,6,8,0,0,0,4,4,7,1,0,2,15,4,2,6,2,1
"Smith, Jenkins, Loyer, Furst, Kaufman-Renn",123,1,-1,3,2,2,4,1,2,1,2,0,0,1,0,1,1,0,0,1,2,0,0,0,0,0
"Smith, Jenkins, Morton, Gillis, Kaufman-Renn",96,1,-1,1,2,2,2,0,0,0,0,1,2,0,1,1,0,0,0,1,2,0,0,0,0,0
