Lineups,Seconds Played,Games Played,plus_minus,PUR PTS,PUR POSS,OPP POSS,OPP PTS,PUR FG,PUR FGA,PUR 3P,PUR 3PA,PUR FT,PUR FTA,PUR OREB,PUR DREB,PUR REB,PUR AST,PUR STL,PUR BLK,PUR TO,OPP FGA,OPP OREB,OPP DREB,OPP REB,OPP TO,OPP FTA
"Smith, Loyer, Morton, Furst, Edey",871,1,6,25,22,24,19,12,20,1,4,0,5,4,10,14,9,2,1,3,20,1,6,7,4,2
"Jenkins, Loyer, Newman, Gillis, Edey",105,1,2,3,4,3,1,1,4,1,1,0,0,0,3,3,1,0,0,0,2,0,2,2,0,2
"Jenkins, Loyer, Newman, Gillis, Kaufman-Renn",235,1,-1,9,7,6,10,4,6,1,2,0,0,0,1,1,1,0,0,1,5,0,2,2,1,0
"Smith, Jenkins, Morton, Gillis, Edey",91,1,1,3,3,4,2,1,2,1,2,0,0,0,1,1,1,1,0,1,2,0,1,1,2,0
"Smith, Loyer, Morton, Gillis, Edey",406,1,10,15,13,10,5,4,12,1,2,6,10,5,4,9,4,1,0,1,6,0,5,5,2,3
"Jenkins, Newman, Morton, Gillis, Edey",31,1,-3,0,1,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1
"Jenkins, Newman, Morton, Gillis, Furst",2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Smith, Jenkins, Loyer, Gillis, Edey",40,1,5,5,3,1,0,1,2,1,2,2,2,0,0,0,1,0,0,0,0,0,1,1,0,1
"Jenkins, Loyer, Morton, Gillis, Edey",47,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2
"Jenkins, Loyer, Morton, Gillis, Kaufman-Renn",171,1,-3,4,4,5,7,2,4,0,0,0,0,1,0,1,0,1,0,1,3,0,1,1,2,0
"Smith, Jenkins, Newman, Gillis, Edey",61,1,-1,2,2,2,3,1,2,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1
"Smith, Jenkins, Newman, Furst, Edey",150,1,1,6,5,6,5,1,3,0,2,4,4,0,3,3,1,0,1,0,4,0,2,2,1,2
"Smith, Jenkins, Morton, Furst, Edey",100,1,3,5,2,2,2,2,2,1,1,0,0,0,1,1,2,0,0,0,2,0,0,0,0,0
"Smith, Jenkins, Loyer, Morton, Gillis",16,1,-2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Jenkins, Newman, Waddell, Gillis, Kaufman-Renn",74,1,-2,0,0,2,2,0,1,0,0,0,0,1,1,2,0,0,0,0,2,0,0,0,0,0
