Lineups,Seconds Played,Games Played,plus_minus,PUR PTS,PUR POSS,OPP POSS,OPP PTS,PUR FG,PUR FGA,PUR 3P,PUR 3PA,PUR FT,PUR FTA,PUR OREB,PUR DREB,PUR REB,PUR AST,PUR STL,PUR BLK,PUR TO,OPP FGA,OPP OREB,OPP DREB,OPP REB,OPP TO,OPP FTA
"Smith, Loyer, Morton, Furst, Edey",778,1,-4,20,22,22,24,7,17,1,7,5,6,2,11,13,5,1,2,4,22,2,7,9,1,2
"Smith, Loyer, Morton, Gillis, Edey",249,1,-6,6,7,8,12,3,7,0,1,0,0,1,3,4,3,0,0,1,7,0,3,3,0,2
"Smith, Jenkins, Newman, Gillis, Kaufman-Renn",87,1,1,3,3,3,2,1,5,0,1,1,2,3,1,4,0,1,0,0,2,0,1,1,1,0
"Smith, Jenkins, Newman, Kaufman-Renn, Edey",136,1,3,8,4,4,5,2,2,0,0,4,4,0,1,1,2,0,0,0,4,1,0,1,0,1
"Jenkins, Loyer, Newman, Kaufman-Renn, Edey",18,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jenkins, Loyer, Morton, Furst, Edey",133,1,0,4,5,4,4,1,2,0,1,2,3,1,2,3,1,0,0,2,4,0,1,1,0,0
"Smith, Loyer, Newman, Gillis, Edey",788,1,0,26,23,22,26,7,23,3,10,9,17,10,4,14,3,4,1,2,15,1,9,10,5,6
"Smith, Loyer, Newman, Gillis, Kaufman-Renn",4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Smith, Loyer, Newman, Kaufman-Renn, Edey",41,1,-2,0,1,2,2,0,2,0,0,0,0,1,1,2,0,0,0,0,1,0,1,1,0,1
"Smith, Loyer, Newman, Furst, Edey",27,1,3,3,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Smith, Jenkins, Newman, Furst, Kaufman-Renn",48,1,-2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0
"Smith, Jenkins, Morton, Furst, Kaufman-Renn",13,1,-2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Smith, Jenkins, Loyer, Kaufman-Renn, Edey",78,1,1,1,3,2,0,0,3,0,2,1,1,1,2,3,0,0,0,0,2,0,2,2,0,0
