Lineups,Seconds Played,Games Played,plus_minus,PUR PTS,PUR POSS,OPP POSS,OPP PTS,PUR FG,PUR FGA,PUR 3P,PUR 3PA,PUR FT,PUR FTA,PUR OREB,PUR DREB,PUR REB,PUR AST,PUR STL,PUR BLK,PUR TO,OPP FGA,OPP OREB,OPP DREB,OPP REB,OPP TO,OPP FTA
"Smith, Loyer, Morton, Furst, Edey",585,1,-4,14,15,14,18,6,17,2,8,0,0,3,7,10,4,0,0,1,14,0,5,5,0,0
"Smith, Loyer, Morton, Gillis, Edey",864,1,22,33,20,19,11,11,19,7,13,4,5,5,11,16,10,2,2,3,16,0,3,3,3,0
"Smith, Jenkins, Newman, Gillis, Edey",164,1,7,7,4,4,0,3,5,1,2,0,0,1,4,5,0,0,0,0,4,0,1,1,0,0
"Jenkins, Loyer, Newman, Gillis, Kaufman-Renn",121,1,4,6,4,3,2,2,3,1,2,1,2,0,2,2,1,0,0,0,3,0,1,1,0,0
"Smith, Loyer, Morton, Gillis, Kaufman-Renn",166,1,-2,5,4,5,7,2,3,1,2,0,0,0,1,1,1,1,0,1,5,1,1,2,1,0
"Smith, Loyer, Newman, Gillis, Kaufman-Renn",5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"Smith, Jenkins, Morton, Gillis, Kaufman-Renn",145,1,1,3,3,3,2,1,3,1,2,0,0,0,1,1,1,1,0,0,2,0,2,2,1,0
"Smith, Jenkins, Morton, Furst, Kaufman-Renn",59,1,-1,2,1,2,3,1,1,0,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0
"Smith, Jenkins, Newman, Furst, Edey",108,1,-7,3,3,4,10,1,2,0,1,1,2,0,0,0,0,0,0,0,3,0,1,1,0,1
"Jenkins, Newman, Morton, Gillis, Kaufman-Renn",5,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0
"Jenkins, Newman, Waddell, Furst, Kaufman-Renn",178,1,0,7,4,6,7,1,2,1,1,4,4,0,1,1,1,1,0,0,4,1,1,2,1,3
