Lineups,Seconds Played,Games Played,plus_minus,PUR PTS,PUR POSS,OPP POSS,OPP PTS,PUR FG,PUR FGA,PUR 3P,PUR 3PA,PUR FT,PUR FTA,PUR OREB,PUR DREB,PUR REB,PUR AST,PUR STL,PUR BLK,PUR TO,OPP FGA,OPP OREB,OPP DREB,OPP REB,OPP TO,OPP FTA
"Smith, Loyer, Morton, Furst, Edey",486,1,1,12,14,14,11,4,12,1,6,3,3,2,5,7,1,1,1,2,11,1,6,7,3,2
"Smith, Newman, Morton, Gills, Kaufman-Renn",154,1,3,5,3,2,2,1,4,1,1,2,2,2,0,2,1,0,1,0,4,2,1,3,0,0
"Jenkins, Loyer, Newman, Gillis, Kaufman-Renn",17,1,-2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Jenkins, Loyer, Morton, Gillis, Edey",64,1,0,0,2,1,0,0,3,0,2,0,0,2,1,3,0,0,0,1,1,0,0,0,0,0
"Smith, Loyer, Morton, Gillis, Edey",245,1,0,8,6,5,8,2,4,0,1,4,4,0,2,2,2,0,1,0,6,1,1,2,0,0
"Smith, Loyer, Newman, Furst, Kaufman-Renn",145,1,-2,3,5,5,5,1,3,1,2,0,0,0,0,0,1,2,0,2,2,0,2,2,2,1
"Smith, Loyer, Morton, Furst, Kaufman-Renn",150,1,-1,3,4,6,4,1,2,1,2,0,0,0,3,3,1,0,0,2,6,2,1,3,1,1
"Smith, Loyer, Newman, Gillis, Kaufman-Renn",49,1,-2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Smith, Loyer, Newman, Gillis, Edey",240,1,8,12,7,5,4,4,6,1,3,3,4,1,0,1,4,0,1,0,4,1,1,2,2,0
"Smith, Jenkins, Newman, Gillis, Edey",40,1,-2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Smith, Jenkins, Newman, Gillis, Kaufman-Renn",114,1,-1,4,4,3,5,0,2,0,1,4,5,1,1,2,0,0,0,0,4,1,1,2,0,0
"Smith, Jenkins, Morton, Furst, Kaufman-Renn",101,1,-2,0,3,3,2,0,2,0,1,0,3,1,1,2,0,0,1,0,3,0,2,2,0,0
"Jenkins, Loyer, Newman, Gillis, Edey",307,1,-1,7,8,9,8,2,5,1,2,2,4,1,4,5,2,0,0,2,8,1,2,3,0,4
"Smith, Newman, Morton, Furst, Edey",139,1,0,5,5,4,5,2,2,0,0,1,2,0,2,2,2,0,0,2,4,0,1,1,0,0
"Jenkins, Newman, Morton, Furst, Edey",107,1,3,5,3,3,2,2,3,1,2,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1
"Smith, Newman, Morton, Gillis, Edey",42,1,-3,0,0,2,3,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0
