Lineups,Seconds Played,Games Played,plus_minus,PUR PTS,PUR POSS,OPP POSS,OPP PTS,PUR FG,PUR FGA,PUR 3P,PUR 3PA,PUR FT,PUR FTA,PUR OREB,PUR DREB,PUR REB,PUR AST,PUR STL,PUR BLK,PUR TO,OPP FGA,OPP OREB,OPP DREB,OPP REB,OPP TO,OPP FTA
"Smith, Loyer, Newman, Gillis, Edey",703,1,0,21,19,19,21,8,15,1,5,4,5,3,3,6,5,4,0,4,9,1,2,3,5,12
"Smith, Loyer, Newman, Furst, Edey",180,1,8,10,7,4,2,3,5,0,1,4,5,1,0,1,3,0,1,0,3,1,2,3,1,1
"Smith, Loyer, Morton, Furst, Edey",21,1,-1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Smith, Loyer, Morton, Furst, Kaufman-Renn",94,1,1,5,2,3,4,2,2,1,1,0,0,0,1,1,0,0,0,0,6,3,0,3,0,0
"Jenkins, Loyer, Morton, Furst, Kaufman-Renn",201,1,-4,2,6,6,6,1,4,0,0,0,0,1,1,2,0,1,0,3,4,1,1,2,2,1
"Jenkins, Loyer, Morton, Gillis, Kaufman-Renn",18,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Jenkins, Newman, Morton, Gillis, Kaufman-Renn",102,1,0,2,2,2,2,1,3,0,1,0,0,1,1,2,0,0,0,0,2,0,1,1,0,0
"Jenkins, Newman, Morton, Gillis, Edey",85,1,-4,0,2,3,4,0,1,0,1,0,0,0,1,1,0,0,0,1,4,1,1,2,0,0
"Smith, Newman, Morton, Furst, Edey",318,1,-6,3,6,10,9,1,6,0,0,1,3,3,3,6,0,2,0,1,6,0,4,4,2,3
"Smith, Loyer, Newman, Furst, Kaufman-Renn",352,1,15,21,12,11,6,7,10,4,6,3,5,1,4,5,5,4,1,0,7,1,3,4,4,2
"Smith, Newman, Morton, Gillis, Edey",168,1,-5,3,4,4,8,1,4,0,2,1,2,1,1,2,1,0,0,0,5,1,3,4,0,0
"Jenkins, Newman, Morton, Furst, Kaufman-Renn",0,1,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Jenkins, Newman, Morton, Furst, Edey",130,1,-2,2,3,2,4,1,3,0,1,0,0,1,0,1,1,0,0,1,2,0,1,1,0,0
"Smith, Loyer, Newman, Morton, Gillis",0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Smith, Loyer, Newman, Morton, Furst",28,1,3,6,3,3,3,0,0,0,0,6,6,0,1,1,0,0,0,0,2,1,0,1,0,3
